Date,Open,High,Low,Close,Adj Close,Volume
2018-12-24,9.305000,9.343000,9.228000,9.288000,6.753164,1894817
2018-12-27,9.400000,9.490000,9.098000,9.173000,6.669549,7298381
2018-12-28,9.249000,9.466000,9.215000,9.406000,6.838960,5979391
2018-12-31,9.440000,9.450000,9.369000,9.430000,6.856410,1618681
2019-01-02,9.298000,9.348000,9.095000,9.313000,6.771341,4976608
2019-01-03,9.187000,9.392000,9.150000,9.283000,6.749528,5575061
2019-01-04,9.400000,9.789000,9.343000,9.764000,7.099256,9009845
2019-01-07,9.800000,9.853000,9.661000,9.748000,7.087623,5238089
2019-01-08,9.775000,9.904000,9.724000,9.811000,7.133429,6083094
2019-01-09,9.850000,9.979000,9.767000,9.799000,7.124704,5664381
2019-01-10,9.709000,9.882000,9.631000,9.882000,7.185052,5354884
2019-01-11,9.900000,9.900000,9.758000,9.886000,7.187960,4812788
2019-01-14,9.838000,9.967000,9.826000,9.958000,7.240311,4669781
2019-01-15,10.052000,10.138000,9.909000,9.956000,7.238857,5997502
2019-01-16,10.028000,10.354000,10.000000,10.346000,7.522419,7921813
2019-01-17,10.182000,10.264000,10.120000,10.154000,7.382819,8627338
2019-01-18,10.260000,10.424000,10.260000,10.324000,7.506424,6648665
2019-01-21,10.300000,10.388000,10.182000,10.228000,7.436624,3077002
2019-01-22,10.138000,10.174000,9.996000,10.070000,7.321744,6598939
2019-01-23,10.002000,10.158000,9.890000,10.108000,7.349373,5981144
2019-01-24,10.048000,10.262000,9.991000,10.132000,7.366823,6486170
2019-01-25,10.250000,10.416000,10.192000,10.378000,7.545687,5875939
2019-01-28,10.328000,10.346000,10.068000,10.140000,7.372640,5970953
2019-01-29,10.130000,10.170000,9.948000,10.118000,7.356644,4403664
2019-01-30,10.112000,10.186000,10.054000,10.162000,7.388635,3940386
2019-01-31,10.182000,10.272000,9.880000,9.959000,7.241037,7803564
2019-02-01,9.965000,10.000000,9.802000,9.911000,7.206138,6331535
2019-02-04,9.922000,9.950000,9.641000,9.713000,7.062175,6869649
2019-02-05,9.713000,9.984000,9.689000,9.960000,7.241765,7224751
2019-02-06,9.871000,10.204000,9.840000,10.170000,7.394452,8061865
2019-02-07,10.150000,10.270000,9.856000,9.862000,7.170511,8200263
2019-02-08,9.842000,9.842000,9.402000,9.551000,6.944387,8618873
2019-02-11,9.610000,9.684000,9.557000,9.636000,7.006189,4727510
2019-02-12,9.748000,9.890000,9.645000,9.802000,7.126885,6680512
2019-02-13,9.800000,9.964000,9.749000,9.885000,7.187234,6894345
2019-02-14,10.018000,10.108000,9.719000,9.800000,7.125431,7754263
2019-02-15,9.757000,10.234000,9.706000,10.196000,7.413357,10726137
2019-02-18,10.200000,10.504000,10.196000,10.446000,7.595129,8112985
2019-02-19,10.468000,10.494000,10.328000,10.456000,7.602399,6428297
2019-02-20,10.490000,10.616000,10.376000,10.590000,7.699828,7322661
2019-02-21,10.640000,10.640000,10.462000,10.492000,7.628573,8018992
2019-02-22,10.492000,10.692000,10.472000,10.562000,7.679470,6668831
2019-02-25,10.680000,10.828000,10.620000,10.754000,7.819070,6227377
2019-02-26,10.688000,10.846000,10.592000,10.810000,7.859787,5643232
2019-02-27,10.772000,11.140000,10.772000,11.100000,8.070642,9250990
2019-02-28,11.042000,11.286000,10.934000,11.232000,8.166616,8690230
2019-03-01,11.342000,11.370000,11.130000,11.138000,8.098271,8024737
2019-03-04,11.230000,11.252000,11.088000,11.110000,8.077912,4209830
2019-03-05,11.120000,11.180000,10.974000,11.070000,8.048828,6172405
2019-03-06,10.952000,11.056000,10.768000,11.006000,8.002295,8541656
2019-03-07,11.024000,11.094000,10.604000,10.658000,7.749269,11681830
2019-03-08,10.594000,10.634000,10.464000,10.600000,7.707099,8462105
