Date,Open,High,Low,Close,Adj Close,Volume
2018-12-24,39.174999,39.215000,38.709999,38.790001,30.012699,1161447
2018-12-27,39.660000,39.799999,38.180000,38.544998,29.823133,4383597
2018-12-28,38.759998,39.575001,38.665001,39.375000,30.465324,3343656
2018-12-31,39.509998,39.849998,39.200001,39.474998,30.542696,1055466
2019-01-02,38.730000,39.105000,38.134998,39.084999,30.240944,4275030
2019-01-03,38.779999,39.564999,38.599998,38.855000,30.062984,4011198
2019-01-04,39.400002,40.830002,39.174999,40.740002,31.521456,5325079
2019-01-07,41.119999,41.119999,40.264999,40.680000,31.475029,4195675
2019-01-08,40.705002,41.349998,40.470001,40.884998,31.633640,4372775
2019-01-09,41.165001,41.365002,40.605000,40.775002,31.548538,3619123
2019-01-10,40.400002,41.349998,40.355000,41.215000,31.888973,3393318
2019-01-11,41.130001,41.505001,40.855000,41.369999,32.008900,4219405
2019-01-14,41.160000,41.915001,41.099998,41.619999,32.202332,4549021
2019-01-15,42.130001,42.384998,41.244999,41.695000,32.260361,4260039
2019-01-16,42.000000,43.080002,41.900002,43.080002,33.331970,5752135
2019-01-17,41.759998,42.369999,41.410000,41.419998,32.047581,6948081
2019-01-18,41.889999,42.509998,41.794998,42.470001,32.859993,6133060
2019-01-21,42.439999,42.500000,42.090000,42.299999,32.728462,2545457
2019-01-22,41.875000,41.875000,41.000000,41.514999,32.121090,5480516
2019-01-23,41.250000,42.084999,41.250000,41.575001,32.167511,3582775
2019-01-24,41.610001,42.230000,41.165001,41.380001,32.016636,4585018
2019-01-25,42.240002,43.200001,41.875000,42.990002,33.262333,6014996
2019-01-28,42.990002,42.990002,42.235001,42.455002,32.848392,3724488
2019-01-29,42.310001,42.630001,42.044998,42.380001,32.790363,3030043
2019-01-30,42.355000,42.529999,42.000000,42.320000,32.743938,3403567
2019-01-31,42.305000,42.740002,40.820000,40.965000,31.695543,6691369
2019-02-01,41.005001,41.165001,40.154999,40.884998,31.633640,5016903
2019-02-04,40.884998,41.084999,39.724998,40.110001,31.034008,4894321
2019-02-05,40.040001,41.205002,39.924999,41.134998,31.827072,5241665
2019-02-06,39.724998,41.990002,39.680000,41.865002,32.391891,6311587
2019-02-07,41.805000,43.439999,40.700001,40.790001,31.560139,7174371
2019-02-08,40.540001,40.855000,39.605000,39.849998,30.832842,5490179
2019-02-11,40.250000,40.724998,39.955002,40.505001,31.339630,3427547
2019-02-12,41.025002,41.384998,40.555000,40.994999,31.718756,3865468
2019-02-13,41.235001,41.865002,40.990002,41.389999,32.024372,6511949
